feature,importance
EState_VSA7,1.8279277830962615e-12
fr_etherDensity,1.8224159160917797e-12
fr_NH1,1.814952918857693e-12
SlogP_VSA7Density,1.8129818393081143e-12
EState_VSA5,1.8077969676788541e-12
NumAmideBonds,1.7977978047228893e-12
fr_halogen,1.790114714447788e-12
fr_C_O_noCOO,1.7889677369695156e-12
VSA_EState1Density,1.7706550201751492e-12
fr_C_O,1.7466224863996183e-12
PEOE_VSA3Density,1.7223606438646066e-12
AvgIpc,1.7201186221921239e-12
fr_quatNDensity,1.7074466840405478e-12
Kappa2,1.6801706510458092e-12
PEOE_VSA5,1.674558278499938e-12
fr_benzodiazepine,1.6352791516738296e-12
NumHeterocycles,1.6342997918514235e-12
NumAliphaticCarbocycles,1.6316300524218952e-12
fr_amidine,1.624954619645902e-12
Chi0,1.6235224969962658e-12
fr_Ndealkylation2,1.6192816401985888e-12
fr_pyridine,1.6076630044575824e-12
NumAromaticRings,1.6049680031174351e-12
SlogP_VSA2Density,1.5968565445639848e-12
SlogP_VSA3Density,1.5928350218658016e-12
fr_piperdineDensity,1.5716200042759088e-12
TPSA,1.5702149866805848e-12
fr_nitro_arom_nonortho,1.568837507820442e-12
SlogP_VSA10Density,1.563724301954783e-12
fr_COO,1.5605445538233176e-12
EState_VSA4Density,1.5456033805247293e-12
fr_methoxyDensity,1.5250328127061619e-12
FpDensityMorgan3,1.5165105499495568e-12
BCUT2D_MRHIDensity,1.5107981055431652e-12
fr_isothiocyanDensity,1.4975573949319032e-12
PEOE_VSA4Density,1.4952250592184524e-12
NumAromaticCarbocycles,1.4894906055079593e-12
fr_NH2Density,1.4788328981524268e-12
EState_VSA10Density,1.4535839979595844e-12
SlogP_VSA8,1.4382877484495071e-12
fr_Al_OH_noTert,1.4368708046302858e-12
fr_phenol_noOrthoHbondDensity,1.427285156382907e-12
SMR_VSA9,1.4199999683051079e-12
SlogP_VSA9Density,1.4172583462715438e-12
fr_nitroso,1.4151464288597593e-12
SMR_VSA1Density,1.3872779877979746e-12
VSA_EState4,1.3829289276234835e-12
NHOHCountDensity,1.3737354353018927e-12
EState_VSA3Density,1.360484858450861e-12
Chi3v,1.3422947649222028e-12
fr_thiophene,1.3330849011478074e-12
VSA_EState6,1.3266774831488526e-12
VSA_EState7Density,1.3167676584519006e-12
fr_aldehydeDensity,1.3102121384361842e-12
fr_ArNDensity,1.287860660129092e-12
fr_imidazole,1.2874158119777213e-12
BCUT2D_CHGHI,1.2675183168678328e-12
VSA_EState10,1.2616765271422636e-12
fr_urea,1.2569453941221886e-12
fr_furan,1.2366436000221803e-12
fr_unbrch_alkaneDensity,1.234407866722298e-12
fr_alkyl_carbamateDensity,1.2327720224844518e-12
TPSADensity,1.2256817739572656e-12
fr_allylic_oxidDensity,1.21438623046366e-12
EState_VSA3,1.2143363571637256e-12
PEOE_VSA8,1.2127005129258794e-12
SMR_VSA3Density,1.202137456420005e-12
MinAbsEStateIndexDensity,1.195474817229647e-12
fr_guanido,1.1924890328668392e-12
NumSpiroAtoms,1.1704083882624339e-12
fr_piperzineDensity,1.1606766979824212e-12
NumRotatableBonds,1.157402407421515e-12
fr_sulfoneDensity,1.146620992598102e-12
MaxEStateIndexDensity,1.1314515947422055e-12
fr_anilineDensity,1.1268377723971934e-12
fr_Ar_COODensity,1.126501236042854e-12
BalabanJ,1.1188485034285822e-12
EState_VSA1,1.109221655498649e-12
BCUT2D_MWHIDensity,1.1021147102580064e-12
PEOE_VSA10Density,1.0987776443913133e-12
fr_NH0Density,1.0782004629394937e-12
SMR_VSA6,1.0711084796888315e-12
fr_oxazole,1.0575793712996884e-12
fr_para_hydroxylation,1.0547191375484544e-12
VSA_EState3Density,1.054304972318565e-12
fr_morpholineDensity,1.0486933587142144e-12
fr_term_acetylene,1.03943026061315e-12
NumSaturatedHeterocycles,1.028254521459604e-12
fr_priamide,1.013138141089942e-12
fr_amideDensity,1.0129231437991382e-12
NumAromaticHeterocycles,9.832514576840756e-13
fr_barbitur,9.80513521937898e-13
NumHeteroatoms,9.77027811953357e-13
VSA_EState5Density,9.722213268822943e-13
PEOE_VSA14Density,9.663883191943223e-13
BCUT2D_MRLOW,9.663845244867186e-13
fr_diazo,9.62318332659029e-13
fr_epoxideDensity,9.614244079678147e-13
EState_VSA2Density,9.58166055178844e-13
PEOE_VSA7Density,9.546048847230981e-13
fr_thiazoleDensity,9.535373792640689e-13
NumSpiroAtomsDensity,9.4026620257176e-13
fr_isocyanDensity,9.35564668270994e-13
Chi2n,9.243471873338072e-13
NumBridgeheadAtomsDensity,9.18783712305915e-13
BCUT2D_CHGLODensity,9.080136273952044e-13
